,id,fk_fabrica,id_gerente,email,senha,nome,genero,tipo_acesso,desc_tipoacesso,status,data_criacao,data_nascimento,cargo
0,1ad34692-83fa-46a3-acd3-ebcd87fea9ed,1,,gerente.seara@seara.com.br,$2a$15$mABY7ntafExp1hTioSpzB.5EQBRlfIjuXA4Sc5Fonu6nlQU6MtRGa,João Mendes,masc,1,Remover ábaco,True,2025-10-27 11:43:22.777548,1980-05-15,Gerente
1,1128f100-8290-4bce-976e-fc750d598b4a,1,,supervisor.seara@seara.com.br,$2a$15$mABY7ntafExp1hTioSpzB.5EQBRlfIjuXA4Sc5Fonu6nlQU6MtRGa,Ana Costa,fem,2,leitura e revisão de dados,True,2025-10-27 11:43:22.777548,1985-08-22,Gerente
2,d63ac3c7-b7f4-4a63-92f1-c5db2db47906,2,,gerente.sadia@sadia.com.br,$2a$15$mABY7ntafExp1hTioSpzB.5EQBRlfIjuXA4Sc5Fonu6nlQU6MtRGa,Pedro Oliveira,masc,1,Acesso total,True,2025-10-27 11:43:22.777548,1978-12-10,Gerente
3,2e50af4b-6ee8-417d-91d0-71ed47e5b949,3,,gerente.jbs@jbs.com.br,$2a$15$mABY7ntafExp1hTioSpzB.5EQBRlfIjuXA4Sc5Fonu6nlQU6MtRGa,Fernanda Lima,fem,1,Acesso total,True,2025-10-27 11:43:22.777548,1982-03-30,Gerente
4,e0d071ca-4037-4efe-8841-8589dac60aa8,4,,supervisor.lins@jbs.com.br,$2a$15$mABY7ntafExp1hTioSpzB.5EQBRlfIjuXA4Sc5Fonu6nlQU6MtRGa,Ricardo Souza,masc,2,Acesso limitado,True,2025-10-27 11:43:22.777548,1990-07-18,Gerente
5,a84e22da-7491-46af-91cd-ce05639d5f07,1,1ad34692-83fa-46a3-acd3-ebcd87fea9ed,usuariocomum.seara@seara.com.br,Seara12345,João Mendes,masc,1,Remover ábaco,True,2025-10-27 11:47:12.265229,1980-05-15,Usuário comum
6,af9bdf12-7b74-4ce7-8eb5-4f3575b88602,1,1128f100-8290-4bce-976e-fc750d598b4a,usuariocomum1.seara@seara.com.br,Seara12345,Ana Costa,fem,2,leitura e revisão de dados,True,2025-10-27 11:47:12.265229,1985-08-22,Usuário comum
7,e4c1b2fb-9712-4c28-91df-605c2369d7f3,2,d63ac3c7-b7f4-4a63-92f1-c5db2db47906,usuariocomum.sadia@sadia.com.br,Sadia12345,Pedro Oliveira,masc,1,Acesso total,True,2025-10-27 11:47:12.265229,1978-12-10,Usuário comum
8,738db049-d6b2-4908-9cb7-b76756130393,3,2e50af4b-6ee8-417d-91d0-71ed47e5b949,usuariocomum.jbs@jbs.com.br,Jbs12345,Fernanda Lima,fem,1,Acesso total,True,2025-10-27 11:47:12.265229,1982-03-30,Usuário comum
9,e08814c6-e30b-45a0-9c54-22d5f5528818,4,e0d071ca-4037-4efe-8841-8589dac60aa8,usuariocomum.lins@jbs.com.br,Jbs12345,Ricardo Souza,masc,2,Acesso limitado,True,2025-10-27 11:47:12.265229,1990-07-18,Usuário comum
